Term Category	Months Since First Post of User	R-squared	p-value (FDR-corrected)
Neutral Terms	-0.0002	0.01%	0.6893
Total Misogyny	-0.0019	0.33%	0.0064
Racist Misogyny	0.0000	0.02%	0.5852
Stacy/Becky	-0.0003	0.26%	0.0131
Girl	-0.0014	0.64%	0.0000
Female	0.0001	0.01%	0.6893
Foid	0.0003	0.04%	0.4419
Other Misogyny	-0.0007	0.20%	0.0290
